family,shop_or_product,platform_location,price,reviews_or_sales_signal,notes,evidence_source,confidence
uk_soletrader_tax,Business Accounting Basics free templates,businessaccountingbasics.co.uk,free,UNKNOWN,Free-alternative competitor; sets the feature floor,https://www.businessaccountingbasics.co.uk/bookkeeping-templates-for-self-employed/,VERIFIED
landlord_uk,Landlord Property UK Tracker 2026/27 (listing 4481759113),etsy.com/listing/4481759113,UNKNOWN,UNKNOWN,"758+ formulas, Section 24, HMRC categories, yield calcs, 1-6 properties; the quality bar",https://www.etsy.com/listing/4481759113/landlord-property-tracker-202627-uk,VERIFIED (search snippet)
landlord_uk,Rental Property Income & Expense Tracker 10 properties (listing 814979267),etsy.com/uk/listing/814979267,UNKNOWN,UNKNOWN,Excel; long-lived listing (ID age),https://www.etsy.com/uk/listing/814979267/10-rental-properties-income-expense,VERIFIED (search snippet)
landlord_uk,Landlord Rental Spreadsheet Google Sheets (listing 1294366220),etsy.com/uk/listing/1294366220,UNKNOWN,UNKNOWN,15 properties; dashboards; maintenance logs,https://www.etsy.com/uk/listing/1294366220/landlord-rental-property-spreadsheet,VERIFIED (search snippet)
landlord_uk,Rental Property Spreadsheet UK (listing 1230615008),etsy.com/listing/1230615008,UNKNOWN,UNKNOWN,UK portfolio tracker,https://www.etsy.com/listing/1230615008/rental-property-spreadsheet-uk-property,VERIFIED (search snippet)
crm_sales,Sales Lead Tracker Template Excel (listing 1885379490),etsy.com/listing/1885379490,UNKNOWN,UNKNOWN,"Small business CRM positioning, XLSX",https://www.etsy.com/listing/1885379490/sales-lead-tracker-template-editable,VERIFIED (search snippet)
crm_sales,Lead Tracker Excel Simple Sales CRM (listing 1734115231),etsy.com/listing/1734115231,UNKNOWN,UNKNOWN,"Entrepreneur/small-biz positioning",https://www.etsy.com/listing/1734115231/lead-tracker-excel-simple-sales-crm,VERIFIED (search snippet)
crm_sales,Lead Tracker for Coaches CRM Google Sheets (listing 1735414707),etsy.com/listing/1735414707,UNKNOWN,UNKNOWN,Vertical CRM (coaches) = verticalization precedent,https://www.etsy.com/listing/1735414707/lead-tracker-spreadsheet-for-coaches-crm,VERIFIED (search snippet)
crm_sales,CRM Excel Template Client Tracker (listing 1363873180),etsy.com/listing/1363873180,UNKNOWN,UNKNOWN,Generic client database,https://www.etsy.com/listing/1363873180/crm-excel-template-client-tracker,VERIFIED (search snippet)
crm_sales,Etsy Seller CRM (listing 4389160902),etsy.com/listing/4389160902,UNKNOWN,UNKNOWN,CRM verticalized to Etsy sellers,https://www.etsy.com/listing/4389160902/etsy-seller-crm-client-tracker-sales,VERIFIED (search snippet)
budget_consumer,2026 Budget Spreadsheet Google Sheets (listing 1580804501),etsy.com/listing/1580804501,UNKNOWN,"category star sellers, strong reviews","Annual+monthly dashboard; the saturated giant",https://www.etsy.com/listing/1580804501/2026-budget-spreadsheet-template-google,VERIFIED (search snippet)
budget_consumer,'google sheets budget' keyword,etsy search,GBP3-15 typical,"1,324 searches/mo, 112% CTR (eRank data via secondary)",Demand benchmark for the biggest adjacent consumer market,https://snazzydesignsforever.com/the-best-google-sheets-templates-to-sell-now/,REPORTED
service_trades,Cleaning business estimate/quote/invoice market pages,etsy.com/market/cleaning_business_estimate_template and related,GBP3-15 typical,multiple dense market pages,"Editable Canva/Word/PDF; quality basic; per-trade verticals exist for cleaning but thin for gardeners/handymen/groomers",https://www.etsy.com/market/cleaning_business_estimate_template,VERIFIED (market pages)
service_trades,Cleaning service Canva kits (contracts+forms+checklists+price lists),etsy market,GBP5-20,UNKNOWN,Bundled kits exist; spreadsheet-grade job/money tracking rare in these kits,https://www.etsy.com/market/cleaning_service_quote_templates,VERIFIED (market pages)
client_onboarding,Client Onboarding Template Canva (listing 4530601440),etsy.com/listing/4530601440,UNKNOWN,UNKNOWN,Coach & service provider kit,https://www.etsy.com/listing/4530601440/client-onboarding-template-canva-client,VERIFIED (search snippet)
client_onboarding,Client Welcome Packet VA/Coaching/Interior (listing 1224113456),etsy.com/listing/1224113456,UNKNOWN,UNKNOWN,Multi-vertical welcome guide,https://www.etsy.com/listing/1224113456/client-welcome-packet-onboarding,VERIFIED (search snippet)
client_onboarding,Coaching Welcome Packet (listing 1095023877),etsy.com/listing/1095023877,UNKNOWN,UNKNOWN,20-34 page kits typical,https://www.etsy.com/listing/1095023877/coaching-welcome-packet-onboarding,VERIFIED (search snippet)
wedding_vendor,Wedding Pricing Template for Photographers etc (listing 1561641582),etsy.com/listing/1561641582,UNKNOWN,UNKNOWN,Canva luxury welcome guide,https://www.etsy.com/listing/1561641582/wedding-pricing-template-for,VERIFIED (search snippet)
wedding_vendor,Wedding Services Price Guide (listing 1579434051),etsy.com/listing/1579434051,UNKNOWN,UNKNOWN,2-page price guide; dense market pages for photography pricing,https://www.etsy.com/listing/1579434051/wedding-services-price-guide-template,VERIFIED (search snippet)
notion,Notion templates on Etsy vs Gumroad,both platforms,GBP5-30,"top Gumroad Notion sellers ~USD3.2k/mo (secondary claim)","Etsy=discovery, Gumroad=premium; 2026 velocity: life admin + profession systems",https://kupkaike.com/blog/best-selling-notion-templates-etsy-gumroad-2026,REPORTED
income_trackers_offetsy,Gumroad income/expense trackers (multiple),gumroad.com,USD2-29,UNKNOWN,Cross-platform price floor for generic trackers,https://benas.gumroad.com/l/income-tracker,VERIFIED (listings exist)
case_study,USD168k/yr digital Etsy store case study,insightsbyjess.com,n/a,"USD168k/yr claimed, spreadsheets named as a niche",Existence proof for six-figure digital shops,https://insightsbyjess.com/168k-store-case-study-digital-products-to-sell-on-etsy,REPORTED (unaudited)
meta_keyword,'digital products' Etsy search rank,etsy search,n/a,#6 in Q2 2026 (up from #45),Category demand rising,https://help.erank.com/blog/top-etsy-searches-q2-2026/,REPORTED (eRank)
