rank,customer,problem,product,price_gbp,demand_15,competition_10,margin_15,differentiation_15,catalogue_10,search_intent_10,production_speed_5,upsell_5,shopify_5,policy_ip_10,total_100,policy_risk,ip_risk,production_time,launch_cost_gbp
25,Sales reps,commission opacity,Commission Calculator + Tracker,9.99,7,8,13,10,5,5,4,4,3,10,69,LOW,LOW,1 day,~1
26,All small businesses,late payments,Invoice Tracker + Late Payment Chase System,9.99,8,7,13,10,6,6,4,4,3,10,71,LOW,LOW,1 day,~1
27,Wedding photographers,pricing + client comms,Photographer Pricing Guide + Email Scripts (copy-led),16.99,9,4,13,8,6,7,3,4,3,9,66,LOW,MEDIUM (fonts/assets),2-3 days,~1
28,Virtual assistants,client + task chaos,VA Business Kit,12.99,7,6,13,8,7,6,4,4,3,10,68,LOW,LOW,1-2 days,~1
29,Charity/club treasurers,simple accounts,Treasurer Accounts Sheet,9.99,6,9,13,9,5,5,4,3,2,10,66,LOW,LOW,1 day,~1
30,Photographers,client workflow,Photography Client Workflow Tracker,12.99,7,5,13,8,6,6,4,4,3,10,66,LOW,LOW,1-2 days,~1
31,Candle/soap makers,costing + stock,Maker Costing + Inventory Sheet,9.99,7,6,13,8,6,6,4,4,3,10,67,LOW,LOW,1 day,~1
32,UK sole traders,want all-in-one workspace,Notion UK Sole Trader Business OS,19.99,7,6,13,8,6,5,3,4,3,9,64,LOW,LOW,3 days,~1
33,Social media managers,client juggling,SMM Client Tracker,12.99,6,6,13,8,6,5,4,4,3,10,65,LOW,LOW,1 day (CRM clone),~1
34,Small retailers,stock control,Simple Stock Control Sheet,12.99,7,6,13,7,6,6,3,4,3,10,65,LOW,LOW,2 days,~1
35,Food trucks/street food,menu costing,Street Food Costing Kit,12.99,6,7,13,8,5,5,4,4,3,10,65,LOW,LOW,1-2 days,~1
36,Micro employers,holiday/rota/timesheets,HR-lite UK Pack,14.99,7,6,13,7,6,5,3,4,3,8,62,MEDIUM (employment law adjacency),LOW,2 days,~1
37,New founders,business planning,One-Page Business Plan Pack,7.99,6,5,12,6,5,5,5,3,3,10,60,LOW,LOW,1 day,~1
38,Service providers,onboarding clients,Client Onboarding Packet (verticalized Canva),14.99,8,3,12,6,7,6,3,4,3,8,60,LOW-MEDIUM,MEDIUM (Canva licence),2 days,~1
39,Engaged couples,wedding budget,UK Wedding Budget Spreadsheet,7.99,8,3,12,6,5,7,4,3,3,10,61,LOW,LOW,1 day,~1
40,UK consumers,budgeting,Premium UK Budget Planner (paycheck-cycle),9.99,10,2,12,5,6,7,4,3,3,10,62,LOW,LOW,1-2 days,~1
41,UK consumers,net worth/FIRE,UK Net Worth + FIRE Tracker,9.99,7,4,12,6,5,6,4,3,3,10,60,LOW,LOW,1 day,~1
42,UK consumers,debt,UK Debt Payoff Tracker,7.99,7,3,12,5,5,6,4,3,3,10,58,LOW,LOW,1 day,~1
43,Job seekers,application chaos,Job Search Tracker + Interview Prep,7.99,7,4,12,6,5,6,4,3,2,10,59,LOW,LOW,1 day,~1
44,Small businesses,content chaos,Content Calendar Kit,9.99,7,3,12,4,5,5,4,3,3,9,55,LOW,MEDIUM,1 day,~1
45,Founders,fundraising,Pitch Deck Template,14.99,5,3,12,4,4,4,3,3,3,9,50,LOW,MEDIUM,2 days,~1
46,Job seekers,CV,CV Template Pack,5.99,10,1,11,2,4,7,4,2,2,9,52,LOW,MEDIUM,1 day,~1
47,ADHD adults,planning,ADHD Planner,7.99,10,1,12,2,5,6,3,3,2,9,53,LOW,LOW,2 days,~1
48,Planner users,digital planning,Generic Digital Planner,6.99,9,1,12,1,4,5,2,3,2,9,48,LOW,LOW,3 days,~1
49,Crafters,cut files,SVG Bundle,3.99,10,1,10,1,5,6,3,2,2,4,44,MEDIUM,HIGH,ongoing,~1
50,AI users,prompts,Prompt Pack,4.99,6,2,10,2,3,4,5,2,2,0,36,HIGH (reported prohibited),LOW,0.5 day,~1
